Chouteau,MT,25,5468,5254
Chowan,NC,32,13540,14635
Christian,IL,12,34447,34543
Christian,KY,16,68823,80868
Christian,MO,24,33029,73066
Churchill,NV,27,18039,24891
Cibola,NM,30,23690,27261
Cimarron,OK,35,3294,2664
Citrus,FL,8,94645,140169
Clackamas,OR,36,280862,376251
Claiborne,LA,17,17354,16283
Claiborne,MS,23,11384,10999
Claiborne,TN,41,26182,31270
Clallam,WA,46,56525,70474
Clare,MI,21,25075,30697
Clarendon,SC,39,28511,32822
Clarion,PA,37,41703,40028
Clark,AR,3,21440,23585
Clark,ID,11,760,906
Clark,IL,12,15930,16884
Clark,IN,13,87723,105035
Clark,KS,15,2420,2094
Clark,KY,16,29570,35550
Clark,MO,24,7523,7220
Clark,NV,27,756170,1836333
Clark,OH,34,147596,140477
Clark,SD,40,4388,3472
Clark,WA,46,240883,418070
Clark,WI,48,31647,33490
Clarke,AL,0,27289,26496
Clarke,GA,9,88058,114063
Clarke,IA,14,8301,8995
Clarke,MS,23,17293,17414
Clarke,VA,45,12079,14361
Clatsop,OR,36,33436,37364
Clay,AL,0,13284,13788
Clay,AR,3,18096,16134
Clay,FL,8,106752,182023
Clay,GA,9,3342,3207
Clay,IA,14,17654,16689
Clay,IL,12,14472,13893
Clay,IN,13,24734,26648
Clay,KS,15,9126,8685
Clay,KY,16,21725,23730
Clay,MN,22,50454,54835
Clay,MO,24,154200,211952
Clay,MS,23,21151,20969
Clay,NC,32,7167,10238
Clay,NE,26,7117,6330
Clay,SD,40,13193,13364
Clay,TN,41,7244,7870
Clay,TX,42,10000,11119
Clay,WV,47,9947,10120
Clayton,GA,9,182769,272217
Clayton,IA,14,19064,17685
Clear Creek,CO,5,7632,8956
Clearfield,PA,37,78154,81452
Clearwater,ID,11,8485,8231
Clearwater,MN,22,8324,8245
Cleburne,AL,0,12724,14700
Cleburne,AR,3,19520,25407
Clermont,OH,34,150920,193490
Cleveland,AR,3,7764,8769
Cleveland,NC,32,85221,98453
Cleveland,OK,35,174716,236452
Clifton Forge,VA,45,4644,0
Clinch,GA,9,6160,6992
Clinton,IA,14,51091,49051
Clinton,IL,12,33962,36450
Clinton,IN,13,31060,33795
Clinton,KY,16,9162,9536
Clinton,MI,21,58136,69755
Clinton,MO,24,16650,20894
Clinton,NY,31,86160,82215
Clinton,OH,34,35581,43071
Clinton,PA,37,37268,37213
Cloud,KS,15,10994,9382
Coahoma,MS,23,31565,27543
Coal,OK,35,5740,5709
Cobb,GA,9,450936,691905
Cochise,AZ,2,97918,127866
Cochran,TX,42,4369,3088
Cocke,TN,41,29205,35337
Coconino,AZ,2,97106,127450
Codington,SD,40,22793,26356
Coffee,AL,0,40293,46793
Coffee,GA,9,29760,40085
Coffee,TN,41,40507,51741
Coffey,KS,15,8408,8454
Coke,TX,42,3415,3561
Colbert,AL,0,51876,54588
Cole,MO,24,63793,73698
Coleman,TX,42,9675,8550
Coles,IL,12,51671,51011
Colfax,NE,26,9161,9974
Colfax,NM,30,12921,13216
Colleton,SC,39,34518,38903
Collier,FL,8,154568,315839
Collin,TX,42,266856,730690
Collingsworth,TX,42,3553,2972
Colonial Heights,VA,45,16069,17796
Colorado,TX,42,18400,20666
Colquitt,GA,9,36735,44814
Columbia,AR,3,25691,24351
Columbia,FL,8,42861,67985
Columbia,GA,9,66819,109100
Columbia,NY,31,63048,62363
Columbia,OR,36,37809,48996
Columbia,PA,37,63315,64726
Columbia,WA,46,4020,3986
Columbia,WI,48,45173,55280
Columbiana,OH,34,108500,108698
Columbus,NC,32,49559,54046
Colusa,CA,4,16335,21302
Comal,TX,42,51935,105187
Comanche,KS,15,2297,1888
Comanche,OK,35,111473,113811
Comanche,TX,42,13375,13541
Concho,TX,42,3084,3599
Concordia,LA,17,20787,19058
Conecuh,AL,0,14042,13160
Conejos,CO,5,7479,8074
Contra Costa,CA,4,809317,1019640
Converse,WY,49,11069,12868
Conway,AR,3,19171,20740
Cook,GA,9,13467,16432
Cook,IL,12,5109524,5285107
Cook,MN,22,3876,5398
Cooke,TX,42,31014,38486
Cooper,MO,24,14833,17543
Coos,NH,28,34893,32772
Coos,OR,36,60441,63505
Coosa,AL,0,11071,10864
Copiah,MS,23,27631,29317
Corson,SD,40,4169,4205
Cortland,NY,31,49127,48369
Coryell,TX,42,64341,72156
Coshocton,OH,34,35451,36341
Costilla,CO,5,3183,3309
Cottle,TX,42,2221,1610
Cotton,OK,35,6639,6299
Cottonwood,MN,22,12652,11349
Covington,AL,0,36519,37007
Covington,MS,23,16570,20361
Covington,VA,45,7332,6168
Coweta,GA,9,54487,118936
Cowley,KS,15,36933,34251
Cowlitz,WA,46,82478,100467
Craig,OK,35,14069,15195
Craig,VA,45,4386,5141
Craighead,AR,3,69356,91552
Crane,TX,42,4624,3862
Craven,NC,32,82131,96746
Crawford,AR,3,42768,59031
Crawford,GA,9,9071,12483
Crawford,IA,14,16737,16579
Crawford,IL,12,19390,19611
Crawford,IN,13,9919,10782
Crawford,KS,15,35578,38860
Crawford,MI,21,12319,14550
Crawford,MO,24,19238,24076
Crawford,OH,34,47819,44227
Crawford,PA,37,86205,88663
Crawford,WI,48,15931,16998
Creek,OK,35,60813,69073
Crenshaw,AL,0,13598,13805
Crisp,GA,9,20022,22125
Crittenden,AR,3,49959,52103
Crittenden,KY,16,9187,9130
Crockett,TN,41,13392,14233
Crockett,TX,42,4067,3789
Crook,OR,36,14258,22906
Crook,WY,49,5302,6284
Crosby,TX,42,7328,6310
Cross,AR,3,19232,18685
Crow Wing,MN,22,44474,61648
Crowley,CO,5,3946,6643
Culberson,TX,42,3406,2484
Cullman,AL,0,67825,80554
Culpeper,VA,45,28096,45723
Cumberland,IL,12,10692,10842
Cumberland,KY,16,6778,6876
Cumberland,ME,18,243865,275374
Cumberland,NC,32,275834,306518
Cumberland,NJ,29,138366,155544
Cumberland,PA,37,195953,228019
Cumberland,TN,41,34997,53040
Cumberland,VA,45,7849,9626
Cuming,NE,26,10109,9365
Currituck,NC,32,13799,23960
Curry,NM,30,42324,45328
Curry,OR,36,19449,21767
Custer,CO,5,1942,4025
Custer,ID,11,4164,4166
Custer,MT,25,11684,11188
Custer,NE,26,12277,10849
Custer,OK,35,26814,26111
Custer,SD,40,6166,7818
Cuyahoga,OH,34,1412363,1295958
Dade,GA,9,13182,16098
Dade,MO,24,7436,7523
Daggett,UT,43,699,927
Dakota,MN,22,277866,390478
Dakota,NE,26,16829,20312
Dale,AL,0,49600,48150
Dallam,TX,42,5446,6125
Dallas,AL,0,48015,43079
Dallas,AR,3,9605,8249
Dallas,IA,14,29904,57288
Dallas,MO,24,12728,16831
Dallas,TX,42,1863546,2366511
Dane,WI,48,368444,476785
Daniels,MT,25,2246,1650
Danville,VA,45,53167,44947
Dare,NC,32,22929,33776
Darke,OH,34,53618,52205
